CONTRACTOR NUMBER,CONTRACTOR NAME,JURISDICTION,PART,DATE,CLAIM COUNT,TOTAL SUBMITTED AMOUNT,TOTAL ALLOWED AMOUNT,TOTAL PAID/EXPENDITURE AMOUNT,TOTAL DENIED AMOUNT
10000,UTAH - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,09/11/2025,194,110192,92936.41,80082.94,17255.59
10001,"TEXAS - NOVITAS SOLUTIONS, INC.",JH,Part B,09/09/2025,201,84822,67428.81,58775.06,17393.19
10002,RHODE ISLAND - NATIONAL GOVERNMENT SERVICES INC.,JK,Part B,02/03/2025,151,70970,59152.21,50671.7,11817.79
10003,UTAH - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,08/04/2025,182,92456,74327.77,69824.69,18128.23
10004,WISCONSIN - NATIONAL GOVERNMENT SERVICES INC.,J6,Part B,04/27/2025,124,71424,57712.6,51471.54,13711.4
10005,MASSACHUSETTS - NATIONAL GOVERNMENT SERVICES INC.,JK,Part B,08/17/2025,96,41952,31910.65,27706.44,10041.35
10006,VERMONT - NATIONAL GOVERNMENT SERVICES INC.,JK,Part B,09/06/2025,80,36480,29478.34,26399.63,7001.66
10007,WEST VIRGINIA - PALMETTO GBA,JM,Part B,09/12/2025,171,86184,68496.17,60174.28,17687.83
10008,MASSACHUSETTS - NATIONAL GOVERNMENT SERVICES INC.,JK,Part B,12/31/2025,73,35040,27653.64,24342.86,7386.36
10009,MICHIGAN - WISCONSIN PHYSICIANS SERVICE,J8,Part B,10/28/2025,183,99186,75116.06,65532.24,24069.94
10010,"NEW JERSEY - NOVITAS SOLUTIONS, INC.",JL,Part B,06/12/2025,191,96264,80759.26,76112.92,15504.74
10011,"MARYLAND - NOVITAS SOLUTIONS, INC.",JL,Part B,01/09/2025,107,54035,44266.19,39472.75,9768.81
10012,MICHIGAN - WISCONSIN PHYSICIANS SERVICE,J8,Part B,02/07/2025,287,164164,138879.19,129657.25,25284.81
10013,VERMONT - NATIONAL GOVERNMENT SERVICES INC.,JK,Part B,11/16/2025,256,109312,89404.27,78595.97,19907.73
10014,FLORIDA - FIRST COAST SERVICE OPTIONS,JN,Part B,01/01/2026,197,114457,94375.68,84349.73,20081.32
10015,WISCONSIN - NATIONAL GOVERNMENT SERVICES INC.,J6,Part B,02/28/2025,299,141128,113313.44,103409.72,27814.56
10016,MASSACHUSETTS - NATIONAL GOVERNMENT SERVICES INC.,JK,Part B,01/12/2025,110,44000,35591.32,31651.03,8408.68
10017,FLORIDA - FIRST COAST SERVICE OPTIONS,JN,Part B,05/17/2025,250,127250,107828.14,93225.74,19421.86
10018,VERMONT - NATIONAL GOVERNMENT SERVICES INC.,JK,Part B,05/06/2025,114,49020,38346.98,33903.91,10673.02
10019,ALASKA - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,12/22/2025,149,75096,59383.28,55617.36,15712.72
10020,VIRGINIA - PALMETTO GBA,JM,Part B,01/05/2025,198,118008,91656.5,85893.53,26351.5
10021,"MARYLAND - NOVITAS SOLUTIONS, INC.",JL,Part B,11/01/2025,274,134260,101068.25,92613.89,33191.75
10022,"NEW JERSEY - NOVITAS SOLUTIONS, INC.",JL,Part B,04/29/2025,131,69037,54602.89,47187.96,14434.11
10023,"ILLINOIS - NATIONAL GOVERNMENT SERVICES, INC.",J6,Part B,06/04/2025,132,64680,52826.32,46615.18,11853.68
10024,MICHIGAN - WISCONSIN PHYSICIANS SERVICE,J8,Part B,05/20/2025,162,88452,66518.31,60040.69,21933.69
10025,"ILLINOIS - NATIONAL GOVERNMENT SERVICES, INC.",J6,Part B,10/26/2025,78,42510,33054.38,29084.55,9455.62
10026,"ILLINOIS - NATIONAL GOVERNMENT SERVICES, INC.",J6,Part B,08/16/2025,186,95046,79628.6,72139.64,15417.4
10027,VERMONT - NATIONAL GOVERNMENT SERVICES INC.,JK,Part B,10/25/2025,69,38433,29533.74,26280.45,8899.26
10028,VERMONT - NATIONAL GOVERNMENT SERVICES INC.,JK,Part B,03/11/2025,103,44290,37020.62,33097.34,7269.38
